room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1812386,1098676,Entire home/apt,,Financial District,0,,2,2.0,423.0,7,37.790337,-122.392175,2013-12-08 01:53:15
1818503,9522899,Entire home/apt,,South of Market,3,5.0,2,1.0,208.0,1,37.786328,-122.392997,2013-12-07 02:01:13
1821335,329072,Shared room,,Chinatown,2,4.5,4,1.0,43.0,1,37.7928,-122.405034,2013-12-07 03:05:19
1822619,4141807,Entire home/apt,,Financial District,0,,4,2.0,274.0,1,37.790063,-122.391218,2013-12-08 16:20:49
1827025,4098982,Entire home/apt,,West of Twin Peaks,0,,6,2.0,207.0,1,37.737489,-122.452682,2013-12-06 22:18:24
1831735,1526158,Entire home/apt,,South of Market,0,,2,1.0,275.0,2,37.7789,-122.392215,2013-12-07 03:07:26
1836165,329072,Shared room,,Financial District,2,5.0,4,,43.0,1,37.794432,-122.403451,2013-12-08 14:58:39
1840495,9618603,Entire home/apt,,Financial District,0,,4,2.0,219.0,1,37.795684,-122.400718,2013-12-08 00:32:08
1879446,5872795,Private room,,West of Twin Peaks,0,,2,0.0,119.0,1,37.738517,-122.450974,2013-12-08 16:01:42
1897489,361146,Private room,,South of Market,2,5.0,1,3.0,132.0,2,37.784001,-122.394452,2013-12-07 00:12:42
1898173,9859940,Entire home/apt,,Outer Mission,0,,2,1.0,165.0,1,37.732141,-122.443119,2013-12-07 02:58:32
1898835,9863104,Shared room,,South of Market,0,,1,,77.0,1,37.787952,-122.392203,2013-12-08 00:10:29
1902779,8969037,Entire home/apt,,Financial District,0,,3,0.0,181.0,3,37.788495,-122.402836,2013-12-08 03:36:54
1906341,8464396,Private room,,Financial District,0,,2,,82.0,1,37.796117,-122.400101,2013-12-07 03:16:57
1906874,3284269,Entire home/apt,,Financial District,0,,5,2.0,164.0,5,37.796083,-122.400504,2013-12-07 19:58:43
1910093,9911850,Entire home/apt,,Chinatown,0,,6,3.0,165.0,7,37.790335,-122.407554,2013-12-07 01:36:46
1920066,3942993,Entire home/apt,,Outer Mission,0,,2,1.0,104.0,3,37.731345,-122.446915,2013-12-07 17:05:56
1925011,9966411,Entire home/apt,,Downtown/Civic Center,0,,2,0.0,126.0,1,37.789552,-122.409845,2013-12-08 01:00:54
1931584,3078995,Entire home/apt,,South of Market,0,,3,1.0,165.0,2,37.787636,-122.392465,2013-12-07 15:16:53
1935557,329072,Shared room,,Financial District,0,,4,1.0,43.0,1,37.794429,-122.403595,2013-12-08 05:13:05
